EXPNUM,NOBJECTS,PFW_ATTEMPT_ID,EXPTIME,NITE
632893,14049.00000000,2508856,180.00000000,20170321
632896,14591.00000000,2507859,180.00000000,20170321
632899,14002.00000000,2506857,180.00000000,20170321
632902,12813.00000000,2506858,180.00000000,20170321
632905,13623.00000000,2508857,180.00000000,20170321
632908,13410.00000000,2508858,180.00000000,20170321
632911,13587.00000000,2506859,180.00000000,20170321
632914,13470.00000000,2506860,180.00000000,20170321
632917,13279.00000000,2508859,180.00000000,20170321
632920,12986.00000000,2508860,180.00000000,20170321
632923,13146.00000000,2506861,180.00000000,20170321
632926,13324.00000000,2508861,180.00000000,20170321
632929,13240.00000000,2506862,180.00000000,20170321
632932,12982.00000000,2507860,180.00000000,20170321
632935,13914.00000000,2506863,180.00000000,20170321
633006,5710.00000000,2508862,60.00000000,20170321
633012,22414.00000000,2506864,60.00000000,20170321
636259,18552.00000000,2507861,300.00000000,20170401
636260,17770.00000000,2507862,300.00000000,20170401
636261,18699.00000000,2508863,300.00000000,20170401
636262,19377.00000000,2508864,300.00000000,20170401
636263,17008.00000000,2506865,300.00000000,20170401
636264,17242.00000000,2507863,300.00000000,20170401
636265,16784.00000000,2507864,300.00000000,20170401
636266,16916.00000000,2506866,300.00000000,20170401
636267,17748.00000000,2507865,300.00000000,20170401
636268,20992.00000000,2508865,300.00000000,20170401
636269,17398.00000000,2506867,300.00000000,20170401
636270,17760.00000000,2506868,300.00000000,20170401
636271,16982.00000000,2508866,300.00000000,20170401
636272,17297.00000000,2508867,300.00000000,20170401
636273,17225.00000000,2508868,300.00000000,20170401
636274,17121.00000000,2507866,300.00000000,20170401
636275,19952.00000000,2508869,300.00000000,20170401
636276,19959.00000000,2508870,300.00000000,20170401
636277,19830.00000000,2508871,300.00000000,20170401
636278,19714.00000000,2507867,300.00000000,20170401
636279,17255.00000000,2506869,300.00000000,20170401
636280,17408.00000000,2506870,300.00000000,20170401
636281,17280.00000000,2507868,300.00000000,20170401
636282,16973.00000000,2507869,300.00000000,20170401
636283,22239.00000000,2506871,300.00000000,20170401
636284,21879.00000000,2507870,300.00000000,20170401
636285,22081.00000000,2508872,300.00000000,20170401
636286,22088.00000000,2507871,300.00000000,20170401
636287,16684.00000000,2507872,300.00000000,20170401
636288,16604.00000000,2508873,300.00000000,20170401
636289,16029.00000000,2508874,300.00000000,20170401
636290,15544.00000000,2506872,300.00000000,20170401
636291,18481.00000000,2507873,300.00000000,20170401
636292,18631.00000000,2506873,300.00000000,20170401
636293,18747.00000000,2507874,300.00000000,20170401
636294,18622.00000000,2508875,300.00000000,20170401
636295,18477.00000000,2506874,300.00000000,20170401
636296,18466.00000000,2507875,300.00000000,20170401
636297,18507.00000000,2506875,300.00000000,20170401
636298,18318.00000000,2506876,300.00000000,20170401
636299,18896.00000000,2506877,300.00000000,20170401
636300,17969.00000000,2508876,300.00000000,20170401
636301,18339.00000000,2508877,300.00000000,20170401
636302,18541.00000000,2508878,300.00000000,20170401
636303,19501.00000000,2508879,300.00000000,20170401
636304,19620.00000000,2506878,300.00000000,20170401
636305,19563.00000000,2506879,300.00000000,20170401
636306,19060.00000000,2506880,300.00000000,20170401
